日時	勝利	TOP(B)	KDA	増減	TOP(R)	KDA	増減	JG(B)	KDA	増減	JG(R)	KDA	増減	MID(B)	KDA	増減	MID(R)	KDA	増減	ADC(B)	KDA	増減	ADC(R)	KDA	増減	SUP(B)	KDA	増減	SUP(R)	KDA	増減	ステータス
2026/04/09 22:57:33	RED	もり	2	-110	パンティー竹本	0.9	+60	つぼ@雑魚	1.1	-64	くらげ	6.8	+60	yukizo	1.8	-13	gori	6.8	+20	けいろん	1.5	-64	かずき	2.3	+11	こんぺい	2.7	-141	tamias	5.5	+182	✅計算済
2026/04/11 19:48:06	BLUE	gori	1.7	+10	風流	5.5	-5	かずき	2	+42	tamias	1.1	-141	Pot8Os 柚子胡椒	19	+330	show	1	-274	りょうへい	4.7	+71	ロックに生きよう	1.6	-28	yukizo	17	+149	こんぺい	2	-104	✅計算済
2026/04/11 22:01:08	BLUE	gori	4.8	+36	Pot8Os 柚子胡椒	6	-5	かずき	2.6	+43	tamias	1.5	-119	show	6.3	+114	風流	1	-75	りょうへい	6.7	+94	ロックに生きよう	1.4	-30	yukizo	7.3	+130	こんぺい	2.5	-88	✅計算済
2026/04/11 22:55:41	BLUE	gori	1.7	+10	Pot8Os 柚子胡椒	2.2	-5	かずき	3.4	+46	tamias	2.8	-82	show	23	+114	風流	2.2	-32	ロックに生きよう	5	+173	りょうへい	1.3	-223	yukizo	9	+58	こんぺい	2.2	-85	✅計算済
2026/04/12 21:06:05	RED	くらげ	2.8	-228	つぼ@雑魚	3.1	+137	ましゃる	3.3	-20	ロックに生きよう	2.4	+33	かずき	2.3	-14	りくや	5	+63	こんぺい	4.5	-103	gori	3	+204	yukizo	6.8	-41	トラとらお	4.6	+281	✅計算済
2026/04/12 22:09:16	RED	くらげ	1.1	-271	つぼ@雑魚	1.7	+96	かずき	1.2	-93	ましゃる	5.5	+300	ロックに生きよう	0.7	-49	gori	9	+23	りくや	0.8	-67	こんぺい	19	+55	yukizo	0.8	-91	トラとらお	19	+286	✅計算済
2026/04/12 23:09:16	RED	くらげ	0.2	-176	つぼ@雑魚	9	+162	ましゃる	1.3	-51	かずき	5	+21	りくや	0.3	-114	gori	15	+31	こんぺい	2.3	-164	ロックに生きよう	3.3	+149	トラとらお	1	-49	yukizo	3	+10	✅計算済
2026/04/15 20:01:15	BLUE	くらげ	6	+65	つぼ@雑魚	0.6	-58	かずき	14	+80	lias	2	-190	gori	12	+20	yukizo	2	-7	こんぺい	3.2	+64	show	2.2	-68	けいろん	6.7	+100	もり	2	-41	✅計算済
2026/04/15 20:55:21	RED	つぼ@雑魚	0.2	-54	gori	8.5	+46	くらげ	2	-27	lias	5	+75	かずき	2.3	-224	けいろん	1.2	+132	こんぺい	1.2	-43	show	17	+105	yukizo	0.8	-98	もり	3.3	+215	✅計算済
2026/04/15 21:47:21	BLUE	くらげ	4.7	+47	つぼ@雑魚	0.6	-26	lias	3.2	+152	かずき	0.8	-59	yukizo	6.3	+69	gori	1	-64	show	28	+105	こんぺい	1.8	-38	もり	3	+187	けいろん	2	-133	✅計算済
